batting_team,bowling_team,city,target_score,current_score,balls_left,wickets_left,crr,rrr,toss_winner,toss_decision,powerplay,recent_performance,result
Sunrisers Hyderabad,Rajasthan Royals,Ahmedabad,205,204,12,5,11.33,0.5,Sunrisers Hyderabad,bat,0,44,1
Chennai Super Kings,Sunrisers Hyderabad,Ahmedabad,160,91,31,9,6.13,13.35,Sunrisers Hyderabad,field,0,38,1
Chennai Super Kings,Delhi Capitals,Chandigarh,187,121,51,10,10.52,7.76,Delhi Capitals,bat,0,63,1
Kolkata Knight Riders,Lucknow Super Giants,Bangalore,207,182,32,3,12.41,4.69,Lucknow Super Giants,field,0,57,1
Mumbai Indians,Rajasthan Royals,Lucknow,154,93,38,1,6.8,9.63,Mumbai Indians,bat,0,57,0
Rajasthan Royals,Punjab Kings,Ahmedabad,144,105,29,4,6.92,8.07,Punjab Kings,field,0,32,1
Sunrisers Hyderabad,Chennai Super Kings,Ahmedabad,225,148,34,7,10.33,13.59,Chennai Super Kings,field,0,31,1
Gujarat Titans,Lucknow Super Giants,Kolkata,179,143,12,9,7.94,18.0,Gujarat Titans,field,0,25,1
Delhi Capitals,Punjab Kings,Bangalore,142,79,56,6,7.41,6.75,Punjab Kings,bat,0,47,1
Chennai Super Kings,Gujarat Titans,Hyderabad,172,123,5,8,6.42,58.8,Gujarat Titans,field,0,40,0
Royal Challengers Bangalore,Lucknow Super Giants,Jaipur,179,146,23,8,9.03,8.61,Lucknow Super Giants,bat,0,56,1
Rajasthan Royals,Lucknow Super Giants,Chennai,175,173,16,10,9.98,0.75,Lucknow Super Giants,bat,0,37,1
Gujarat Titans,Royal Challengers Bangalore,Bangalore,229,85,60,6,8.5,14.4,Gujarat Titans,field,0,26,1
Chennai Super Kings,Mumbai Indians,Ahmedabad,202,65,78,7,9.29,10.54,Chennai Super Kings,field,0,29,1
Delhi Capitals,Royal Challengers Bangalore,Hyderabad,228,69,77,10,9.63,12.39,Royal Challengers Bangalore,bat,0,35,1
Gujarat Titans,Delhi Capitals,Kolkata,186,159,35,9,11.22,4.63,Delhi Capitals,bat,0,59,1
Chennai Super Kings,Mumbai Indians,Bangalore,173,49,77,6,6.84,9.66,Chennai Super Kings,bat,0,49,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,147,74,69,9,8.71,6.35,Sunrisers Hyderabad,bat,0,25,1
Chennai Super Kings,Delhi Capitals,Delhi,147,80,41,9,6.08,9.8,Chennai Super Kings,field,0,50,1
Chennai Super Kings,Royal Challengers Bangalore,Delhi,217,93,77,8,12.98,9.66,Royal Challengers Bangalore,bat,0,35,1
Sunrisers Hyderabad,Rajasthan Royals,Mumbai,171,79,58,7,7.65,9.52,Rajasthan Royals,field,0,48,1
Kolkata Knight Riders,Royal Challengers Bangalore,Chennai,204,137,50,6,11.74,8.04,Royal Challengers Bangalore,field,0,31,1
Chennai Super Kings,Lucknow Super Giants,Kolkata,205,159,42,10,12.23,6.57,Chennai Super Kings,bat,0,55,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,173,144,31,5,9.71,5.61,Kolkata Knight Riders,bat,0,51,1
Gujarat Titans,Royal Challengers Bangalore,Bangalore,156,57,71,6,6.98,8.37,Gujarat Titans,field,0,46,1
Punjab Kings,Mumbai Indians,Chennai,191,153,30,7,10.2,7.6,Punjab Kings,field,0,45,1
Chennai Super Kings,Lucknow Super Giants,Delhi,216,107,65,10,11.67,10.06,Chennai Super Kings,bat,0,51,1
Punjab Kings,Lucknow Super Giants,Mumbai,170,42,86,7,7.41,8.93,Lucknow Super Giants,field,1,40,1
Sunrisers Hyderabad,Delhi Capitals,Chennai,174,59,82,10,9.32,8.41,Delhi Capitals,bat,0,59,1
Punjab Kings,Delhi Capitals,Bangalore,149,134,10,3,7.31,9.0,Delhi Capitals,field,0,43,0
Kolkata Knight Riders,Gujarat Titans,Jaipur,150,147,3,1,7.54,6.0,Kolkata Knight Riders,bat,0,34,1
Lucknow Super Giants,Rajasthan Royals,Kolkata,215,120,53,8,10.75,10.75,Rajasthan Royals,bat,0,31,1
Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,200,199,16,3,11.48,0.38,Kolkata Knight Riders,field,0,37,1
Delhi Capitals,Royal Challengers Bangalore,Kolkata,151,135,30,5,9.0,3.2,Delhi Capitals,bat,0,60,1
Kolkata Knight Riders,Delhi Capitals,Chennai,205,118,60,9,11.8,8.7,Kolkata Knight Riders,field,0,29,1
Sunrisers Hyderabad,Mumbai Indians,Delhi,187,70,62,9,7.24,11.32,Mumbai Indians,bat,0,58,1
Kolkata Knight Riders,Mumbai Indians,Delhi,166,128,27,5,8.26,8.44,Mumbai Indians,field,0,29,1
Sunrisers Hyderabad,Mumbai Indians,Kolkata,157,127,5,10,6.63,36.0,Mumbai Indians,bat,0,30,0
Punjab Kings,Lucknow Super Giants,Delhi,159,95,32,1,6.48,12.0,Lucknow Super Giants,field,0,42,0
Delhi Capitals,Chennai Super Kings,Delhi,151,124,16,3,7.15,10.12,Delhi Capitals,field,0,62,1
Lucknow Super Giants,Sunrisers Hyderabad,Bangalore,228,215,13,3,12.06,6.0,Lucknow Super Giants,field,0,62,1
Delhi Capitals,Mumbai Indians,Chandigarh,154,95,25,9,6.0,14.16,Mumbai Indians,field,0,29,1
Mumbai Indians,Gujarat Titans,Ahmedabad,202,81,68,10,9.35,10.68,Gujarat Titans,bat,0,26,1
Mumbai Indians,Punjab Kings,Lucknow,146,80,30,4,5.33,13.2,Mumbai Indians,bat,0,32,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,171,170,3,10,8.72,2.0,Sunrisers Hyderabad,field,0,53,1
Gujarat Titans,Kolkata Knight Riders,Chandigarh,207,112,30,8,7.47,19.0,Kolkata Knight Riders,field,0,53,0
Sunrisers Hyderabad,Mumbai Indians,Chandigarh,141,140,8,5,7.5,0.75,Sunrisers Hyderabad,bat,0,41,1
Sunrisers Hyderabad,Rajasthan Royals,Delhi,144,109,38,6,7.98,5.53,Rajasthan Royals,bat,0,44,1
Gujarat Titans,Delhi Capitals,Lucknow,211,103,51,5,8.96,12.71,Delhi Capitals,field,0,35,1
Lucknow Super Giants,Chennai Super Kings,Bangalore,142,43,74,8,5.61,8.03,Chennai Super Kings,field,0,43,1
Gujarat Titans,Rajasthan Royals,Kolkata,155,104,41,4,7.9,7.46,Rajasthan Royals,bat,0,63,1
Delhi Capitals,Gujarat Titans,Lucknow,182,99,46,6,8.03,10.83,Delhi Capitals,field,0,53,1
Punjab Kings,Royal Challengers Bangalore,Kolkata,172,124,15,3,7.09,19.2,Royal Challengers Bangalore,field,0,37,0
Mumbai Indians,Chennai Super Kings,Mumbai,163,91,44,4,7.18,9.82,Chennai Super Kings,bat,0,54,0
Gujarat Titans,Rajasthan Royals,Jaipur,182,66,81,9,10.15,8.59,Rajasthan Royals,field,0,58,1
Royal Challengers Bangalore,Mumbai Indians,Delhi,188,170,29,8,11.21,3.72,Mumbai Indians,bat,0,53,1
Rajasthan Royals,Chennai Super Kings,Mumbai,193,103,31,3,6.94,17.42,Rajasthan Royals,field,0,34,0
Gujarat Titans,Mumbai Indians,Hyderabad,200,91,58,7,8.81,11.28,Mumbai Indians,bat,0,53,1
Sunrisers Hyderabad,Punjab Kings,Delhi,226,210,23,7,12.99,4.17,Sunrisers Hyderabad,field,0,30,1
Kolkata Knight Riders,Punjab Kings,Ahmedabad,147,49,69,5,5.76,8.52,Punjab Kings,field,0,38,1
Kolkata Knight Riders,Punjab Kings,Mumbai,173,156,15,9,8.91,6.8,Punjab Kings,field,0,61,1
Mumbai Indians,Gujarat Titans,Chandigarh,177,57,65,10,6.22,11.08,Gujarat Titans,field,0,30,1
Sunrisers Hyderabad,Delhi Capitals,Chandigarh,205,41,89,10,7.94,11.06,Sunrisers Hyderabad,field,1,41,1
Kolkata Knight Riders,Delhi Capitals,Ahmedabad,140,91,37,10,6.58,7.95,Kolkata Knight Riders,field,0,62,1
Sunrisers Hyderabad,Mumbai Indians,Ahmedabad,221,54,88,7,10.12,11.39,Mumbai Indians,bat,1,54,1
Chennai Super Kings,Royal Challengers Bangalore,Chandigarh,179,110,57,6,10.48,7.26,Royal Challengers Bangalore,bat,0,29,1
Lucknow Super Giants,Mumbai Indians,Mumbai,164,156,8,2,8.36,6.0,Mumbai Indians,field,0,48,1
Chennai Super Kings,Punjab Kings,Ahmedabad,202,93,67,9,10.53,9.76,Punjab Kings,bat,0,43,1
Sunrisers Hyderabad,Kolkata Knight Riders,Jaipur,225,108,61,7,10.98,11.51,Kolkata Knight Riders,field,0,60,1
Chennai Super Kings,Rajasthan Royals,Mumbai,157,59,75,7,7.87,7.84,Chennai Super Kings,bat,0,29,1
Punjab Kings,Sunrisers Hyderabad,Delhi,161,92,46,9,7.46,9.0,Punjab Kings,bat,0,37,1
Chennai Super Kings,Delhi Capitals,Chandigarh,223,126,25,7,7.96,23.28,Delhi Capitals,bat,0,31,0
Chennai Super Kings,Delhi Capitals,Chandigarh,173,72,72,9,9.0,8.42,Chennai Super Kings,bat,0,30,1
Royal Challengers Bangalore,Lucknow Super Giants,Delhi,219,106,53,4,9.49,12.79,Lucknow Super Giants,field,0,35,1
Lucknow Super Giants,Sunrisers Hyderabad,Chennai,153,84,50,4,7.2,8.28,Lucknow Super Giants,field,0,41,1
Gujarat Titans,Lucknow Super Giants,Delhi,164,98,47,5,8.05,8.43,Lucknow Super Giants,bat,0,59,1
Gujarat Titans,Rajasthan Royals,Lucknow,176,117,44,10,9.24,8.05,Gujarat Titans,field,0,37,1
Punjab Kings,Kolkata Knight Riders,Lucknow,186,53,83,7,8.59,9.61,Kolkata Knight Riders,bat,0,32,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Ahmedabad,211,117,30,4,7.8,18.8,Royal Challengers Bangalore,field,0,49,0
Chennai Super Kings,Rajasthan Royals,Jaipur,172,129,5,4,6.73,51.6,Chennai Super Kings,field,0,56,0
Lucknow Super Giants,Royal Challengers Bangalore,Bangalore,144,112,5,10,5.84,38.4,Lucknow Super Giants,field,0,36,0
Chennai Super Kings,Sunrisers Hyderabad,Ahmedabad,201,132,34,6,9.21,12.18,Sunrisers Hyderabad,bat,0,26,1
Gujarat Titans,Delhi Capitals,Chandigarh,192,122,32,1,8.32,13.12,Gujarat Titans,field,0,55,0
Delhi Capitals,Kolkata Knight Riders,Bangalore,193,85,48,6,7.08,13.5,Delhi Capitals,bat,0,31,1
Delhi Capitals,Royal Challengers Bangalore,Lucknow,178,177,10,4,9.65,0.6,Delhi Capitals,field,0,49,1
Kolkata Knight Riders,Royal Challengers Bangalore,Ahmedabad,195,150,17,9,8.74,15.88,Kolkata Knight Riders,bat,0,35,1
Punjab Kings,Mumbai Indians,Ahmedabad,168,113,12,8,6.28,27.5,Punjab Kings,field,0,56,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,169,79,66,5,8.78,8.18,Kolkata Knight Riders,bat,0,46,1
Punjab Kings,Chennai Super Kings,Ahmedabad,169,108,53,7,9.67,6.91,Chennai Super Kings,field,0,63,1
Lucknow Super Giants,Sunrisers Hyderabad,Bangalore,170,44,80,9,6.6,9.45,Sunrisers Hyderabad,field,0,44,1
Royal Challengers Bangalore,Chennai Super Kings,Kolkata,187,140,39,4,10.37,7.23,Royal Challengers Bangalore,bat,0,59,1
Kolkata Knight Riders,Rajasthan Royals,Hyderabad,208,65,73,8,8.3,11.75,Kolkata Knight Riders,bat,0,45,1
Sunrisers Hyderabad,Rajasthan Royals,Lucknow,155,43,84,10,7.17,8.0,Rajasthan Royals,field,0,43,1
Chennai Super Kings,Delhi Capitals,Lucknow,180,119,42,9,9.15,8.71,Chennai Super Kings,bat,0,55,1
Lucknow Super Giants,Rajasthan Royals,Ahmedabad,228,49,88,8,9.19,12.2,Rajasthan Royals,bat,1,48,1
Chennai Super Kings,Rajasthan Royals,Hyderabad,184,87,65,9,9.49,8.95,Chennai Super Kings,field,0,47,1
Kolkata Knight Riders,Gujarat Titans,Ahmedabad,174,133,16,9,7.67,15.38,Gujarat Titans,bat,0,61,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,169,49,90,7,9.8,8.0,Royal Challengers Bangalore,bat,1,49,1
Delhi Capitals,Punjab Kings,Ahmedabad,192,116,50,7,9.94,9.12,Delhi Capitals,field,0,26,1
Delhi Capitals,Sunrisers Hyderabad,Kolkata,192,76,74,7,9.91,9.41,Delhi Capitals,field,0,62,1
Gujarat Titans,Chennai Super Kings,Chennai,206,100,67,7,11.32,9.49,Chennai Super Kings,field,0,35,1
Lucknow Super Giants,Royal Challengers Bangalore,Ahmedabad,176,62,70,8,7.44,9.77,Lucknow Super Giants,field,0,31,1
Chennai Super Kings,Kolkata Knight Riders,Chandigarh,194,176,4,9,9.1,27.0,Chennai Super Kings,bat,0,61,1
Punjab Kings,Chennai Super Kings,Lucknow,175,122,29,9,8.04,10.97,Punjab Kings,field,0,43,1
Sunrisers Hyderabad,Chennai Super Kings,Chandigarh,168,78,64,9,8.36,8.44,Sunrisers Hyderabad,bat,0,51,1
Chennai Super Kings,Gujarat Titans,Ahmedabad,146,63,73,5,8.04,6.82,Chennai Super Kings,bat,0,35,1
Punjab Kings,Royal Challengers Bangalore,Delhi,144,123,17,3,7.17,7.41,Punjab Kings,bat,0,35,1
Lucknow Super Giants,Delhi Capitals,Ahmedabad,167,77,72,6,9.62,7.5,Lucknow Super Giants,field,0,32,1
Sunrisers Hyderabad,Gujarat Titans,Jaipur,189,65,80,8,9.75,9.3,Sunrisers Hyderabad,bat,0,34,1
Punjab Kings,Royal Challengers Bangalore,Ahmedabad,154,77,51,6,6.7,9.06,Royal Challengers Bangalore,bat,0,30,1
Punjab Kings,Sunrisers Hyderabad,Chennai,150,69,68,9,7.96,7.15,Punjab Kings,field,0,62,1
Gujarat Titans,Chennai Super Kings,Delhi,224,49,85,10,8.4,12.35,Gujarat Titans,field,1,49,1
Mumbai Indians,Royal Challengers Bangalore,Chandigarh,157,96,47,5,7.89,7.79,Royal Challengers Bangalore,field,0,39,1
Royal Challengers Bangalore,Chennai Super Kings,Ahmedabad,156,73,63,9,7.68,7.9,Royal Challengers Bangalore,bat,0,59,1
Chennai Super Kings,Kolkata Knight Riders,Lucknow,152,122,33,7,8.41,5.45,Chennai Super Kings,field,0,38,1
Chennai Super Kings,Royal Challengers Bangalore,Delhi,164,123,12,4,6.83,20.5,Chennai Super Kings,field,0,52,0
Sunrisers Hyderabad,Lucknow Super Giants,Kolkata,174,54,72,8,6.75,10.0,Lucknow Super Giants,field,0,31,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Jaipur,148,113,20,3,6.78,10.5,Sunrisers Hyderabad,bat,0,36,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,171,166,22,8,10.16,1.36,Royal Challengers Bangalore,bat,0,43,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Jaipur,212,81,59,10,7.97,13.32,Sunrisers Hyderabad,field,0,60,1
Lucknow Super Giants,Chennai Super Kings,Lucknow,150,48,75,7,6.4,8.16,Lucknow Super Giants,bat,0,25,1
Kolkata Knight Riders,Punjab Kings,Jaipur,228,177,40,4,13.28,7.65,Kolkata Knight Riders,bat,0,53,1
Royal Challengers Bangalore,Gujarat Titans,Hyderabad,179,101,39,7,7.48,12.0,Gujarat Titans,field,0,61,1
Chennai Super Kings,Kolkata Knight Riders,Lucknow,200,67,67,10,7.58,11.91,Kolkata Knight Riders,field,0,50,1
Chennai Super Kings,Royal Challengers Bangalore,Hyderabad,145,64,69,5,7.53,7.04,Chennai Super Kings,field,0,62,1
Rajasthan Royals,Royal Challengers Bangalore,Hyderabad,181,143,41,7,10.86,5.56,Rajasthan Royals,field,0,59,1
Rajasthan Royals,Kolkata Knight Riders,Delhi,215,76,72,7,9.5,11.58,Kolkata Knight Riders,bat,0,28,1
Gujarat Titans,Punjab Kings,Jaipur,143,82,48,9,6.83,7.62,Punjab Kings,bat,0,43,1
Kolkata Knight Riders,Delhi Capitals,Hyderabad,148,112,38,10,8.2,5.68,Kolkata Knight Riders,bat,0,36,1
Rajasthan Royals,Punjab Kings,Chandigarh,196,195,14,3,11.04,0.43,Rajasthan Royals,field,0,55,1
Sunrisers Hyderabad,Delhi Capitals,Delhi,216,186,30,5,12.4,6.0,Sunrisers Hyderabad,bat,0,45,1
Royal Challengers Bangalore,Kolkata Knight Riders,Delhi,149,39,83,9,6.32,7.95,Royal Challengers Bangalore,field,0,32,1
Delhi Capitals,Punjab Kings,Lucknow,144,112,11,8,6.17,17.45,Punjab Kings,field,0,27,0
Lucknow Super Giants,Mumbai Indians,Bangalore,211,210,15,10,12.0,0.4,Mumbai Indians,field,0,40,1
Lucknow Super Giants,Punjab Kings,Bangalore,165,58,69,7,6.82,9.3,Lucknow Super Giants,bat,0,41,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Lucknow,197,134,44,7,10.58,8.59,Royal Challengers Bangalore,bat,0,53,1
Royal Challengers Bangalore,Delhi Capitals,Lucknow,148,126,27,7,8.13,4.89,Royal Challengers Bangalore,bat,0,61,1
Delhi Capitals,Lucknow Super Giants,Delhi,227,120,41,7,9.11,15.66,Delhi Capitals,field,0,51,1
Lucknow Super Giants,Delhi Capitals,Bangalore,194,64,86,10,11.29,9.07,Lucknow Super Giants,field,1,27,1
Delhi Capitals,Royal Challengers Bangalore,Lucknow,151,45,86,7,7.94,7.4,Delhi Capitals,bat,1,28,1
Rajasthan Royals,Gujarat Titans,Chandigarh,184,86,60,8,8.6,9.8,Gujarat Titans,field,0,51,1
Punjab Kings,Lucknow Super Giants,Lucknow,194,193,7,8,10.25,0.86,Punjab Kings,field,0,57,1
Delhi Capitals,Chennai Super Kings,Hyderabad,149,93,33,8,6.41,10.18,Delhi Capitals,bat,0,47,1
Sunrisers Hyderabad,Gujarat Titans,Bangalore,150,102,6,9,5.37,48.0,Sunrisers Hyderabad,field,0,49,0
Lucknow Super Giants,Kolkata Knight Riders,Chennai,203,130,31,9,8.76,14.13,Kolkata Knight Riders,bat,0,26,1
Lucknow Super Giants,Gujarat Titans,Kolkata,170,83,44,5,6.55,11.86,Lucknow Super Giants,bat,0,32,1
Royal Challengers Bangalore,Delhi Capitals,Mumbai,180,57,70,5,6.84,10.54,Royal Challengers Bangalore,bat,0,26,1
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,180,67,80,10,10.05,8.47,Mumbai Indians,field,0,56,1
Delhi Capitals,Royal Challengers Bangalore,Lucknow,201,80,70,5,9.6,10.37,Delhi Capitals,field,0,25,1
Kolkata Knight Riders,Chennai Super Kings,Hyderabad,184,151,3,5,7.74,66.0,Kolkata Knight Riders,bat,0,57,0
Sunrisers Hyderabad,Mumbai Indians,Mumbai,218,157,16,5,9.06,22.88,Sunrisers Hyderabad,field,0,35,0
Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,207,161,34,4,11.23,8.12,Royal Challengers Bangalore,bat,0,51,1
Chennai Super Kings,Gujarat Titans,Delhi,198,133,21,1,8.06,18.57,Gujarat Titans,field,0,33,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,208,150,11,3,8.26,31.64,Royal Challengers Bangalore,bat,0,40,0
Rajasthan Royals,Royal Challengers Bangalore,Mumbai,190,67,84,7,11.17,8.79,Rajasthan Royals,bat,0,61,1
Rajasthan Royals,Kolkata Knight Riders,Mumbai,155,117,41,9,8.89,5.56,Kolkata Knight Riders,field,0,43,1
Delhi Capitals,Mumbai Indians,Lucknow,195,126,21,1,7.64,19.71,Mumbai Indians,field,0,32,0
Royal Challengers Bangalore,Gujarat Titans,Mumbai,168,129,32,2,8.8,7.31,Gujarat Titans,field,0,57,0
Gujarat Titans,Royal Challengers Bangalore,Mumbai,210,138,21,3,8.36,20.57,Gujarat Titans,field,0,53,0
Rajasthan Royals,Kolkata Knight Riders,Mumbai,155,67,65,9,7.31,8.12,Kolkata Knight Riders,field,0,28,1
Delhi Capitals,Mumbai Indians,Ahmedabad,151,87,26,7,5.55,14.77,Mumbai Indians,field,0,52,1
Punjab Kings,Royal Challengers Bangalore,Hyderabad,153,120,40,10,9.0,4.95,Punjab Kings,field,0,25,1
Kolkata Knight Riders,Sunrisers Hyderabad,Chandigarh,152,29,89,9,5.61,8.29,Sunrisers Hyderabad,bat,1,29,1
Royal Challengers Bangalore,Rajasthan Royals,Kolkata,177,149,32,1,10.16,5.25,Royal Challengers Bangalore,bat,0,60,1
Punjab Kings,Rajasthan Royals,Delhi,164,162,18,4,9.53,0.67,Punjab Kings,bat,0,61,1
Chennai Super Kings,Punjab Kings,Chandigarh,147,106,47,3,8.71,5.23,Punjab Kings,bat,0,39,1
Royal Challengers Bangalore,Mumbai Indians,Chandigarh,195,133,50,3,11.4,7.44,Mumbai Indians,bat,0,44,1
Kolkata Knight Riders,Delhi Capitals,Chennai,180,129,8,7,6.91,38.25,Kolkata Knight Riders,bat,0,29,0
Royal Challengers Bangalore,Rajasthan Royals,Lucknow,154,86,56,4,8.06,7.29,Royal Challengers Bangalore,bat,0,51,1
Gujarat Titans,Punjab Kings,Kolkata,188,100,66,7,11.11,8.0,Gujarat Titans,field,0,43,1
Chennai Super Kings,Kolkata Knight Riders,Hyderabad,212,171,18,1,10.06,13.67,Chennai Super Kings,field,0,49,0
Sunrisers Hyderabad,Lucknow Super Giants,Chandigarh,193,100,68,6,11.54,8.21,Lucknow Super Giants,bat,0,63,1
Sunrisers Hyderabad,Punjab Kings,Delhi,194,135,14,3,7.64,25.29,Sunrisers Hyderabad,field,0,36,0
Gujarat Titans,Delhi Capitals,Bangalore,174,146,33,9,10.07,5.09,Gujarat Titans,field,0,39,1
Mumbai Indians,Chennai Super Kings,Chandigarh,172,126,13,2,7.07,21.23,Chennai Super Kings,field,0,59,0
Mumbai Indians,Lucknow Super Giants,Chandigarh,224,215,6,5,11.32,9.0,Mumbai Indians,field,0,42,1
Mumbai Indians,Punjab Kings,Kolkata,201,110,64,5,11.79,8.53,Mumbai Indians,field,0,57,1
Mumbai Indians,Sunrisers Hyderabad,Jaipur,224,89,67,9,10.08,12.09,Sunrisers Hyderabad,bat,0,55,1
Sunrisers Hyderabad,Chennai Super Kings,Lucknow,149,148,5,10,7.72,1.2,Sunrisers Hyderabad,field,0,34,1
Gujarat Titans,Chennai Super Kings,Jaipur,157,76,39,8,5.63,12.46,Chennai Super Kings,bat,0,32,1
Mumbai Indians,Rajasthan Royals,Chandigarh,170,141,12,9,7.83,14.5,Rajasthan Royals,field,0,29,1
Lucknow Super Giants,Delhi Capitals,Jaipur,146,145,13,9,8.13,0.46,Lucknow Super Giants,bat,0,27,1
Delhi Capitals,Chennai Super Kings,Chandigarh,180,127,44,2,10.03,7.23,Chennai Super Kings,bat,0,61,1
Chennai Super Kings,Sunrisers Hyderabad,Mumbai,226,127,44,6,10.03,13.5,Chennai Super Kings,bat,0,58,1
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,189,94,69,8,11.06,8.26,Sunrisers Hyderabad,field,0,43,1
Chennai Super Kings,Kolkata Knight Riders,Lucknow,215,82,78,8,11.71,10.23,Chennai Super Kings,bat,0,39,1
Mumbai Indians,Gujarat Titans,Mumbai,222,156,14,8,8.83,28.29,Mumbai Indians,field,0,45,0
Delhi Capitals,Royal Challengers Bangalore,Mumbai,173,82,69,9,9.65,7.91,Delhi Capitals,field,0,51,1
Gujarat Titans,Lucknow Super Giants,Delhi,203,84,75,5,11.2,9.52,Lucknow Super Giants,bat,0,51,1
Punjab Kings,Gujarat Titans,Ahmedabad,199,50,90,8,10.0,9.93,Punjab Kings,bat,1,30,1
Delhi Capitals,Rajasthan Royals,Bangalore,175,77,54,7,7.0,10.89,Rajasthan Royals,bat,0,43,1
Delhi Capitals,Sunrisers Hyderabad,Delhi,212,177,4,6,9.16,52.5,Delhi Capitals,bat,0,47,0
Kolkata Knight Riders,Rajasthan Royals,Delhi,213,147,23,8,9.09,17.22,Kolkata Knight Riders,bat,0,35,1
Chennai Super Kings,Kolkata Knight Riders,Lucknow,159,119,14,7,6.74,17.14,Kolkata Knight Riders,field,0,49,1
Sunrisers Hyderabad,Chennai Super Kings,Ahmedabad,197,75,75,9,10.0,9.76,Sunrisers Hyderabad,field,0,31,1
Punjab Kings,Chennai Super Kings,Ahmedabad,211,94,44,5,7.42,15.95,Chennai Super Kings,bat,0,49,1
Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,193,184,18,7,10.82,3.0,Lucknow Super Giants,bat,0,61,1
Gujarat Titans,Sunrisers Hyderabad,Kolkata,177,147,8,6,7.88,22.5,Gujarat Titans,bat,0,42,0
Kolkata Knight Riders,Royal Challengers Bangalore,Delhi,229,114,39,4,8.44,17.69,Royal Challengers Bangalore,bat,0,26,0
Mumbai Indians,Rajasthan Royals,Ahmedabad,168,76,62,8,7.86,8.9,Rajasthan Royals,field,0,47,1
Gujarat Titans,Chennai Super Kings,Jaipur,146,113,19,1,6.71,10.42,Gujarat Titans,field,0,60,1
Kolkata Knight Riders,Royal Challengers Bangalore,Chennai,154,69,68,8,7.96,7.5,Kolkata Knight Riders,field,0,59,1
Chennai Super Kings,Sunrisers Hyderabad,Chandigarh,218,149,49,6,12.59,8.45,Chennai Super Kings,bat,0,42,1
Chennai Super Kings,Rajasthan Royals,Kolkata,190,125,24,2,7.81,16.25,Rajasthan Royals,bat,0,38,0
Punjab Kings,Lucknow Super Giants,Hyderabad,159,129,23,4,7.98,7.83,Lucknow Super Giants,field,0,26,1
Sunrisers Hyderabad,Punjab Kings,Mumbai,223,71,71,10,8.69,12.85,Sunrisers Hyderabad,bat,0,48,1
Mumbai Indians,Punjab Kings,Chennai,154,153,16,6,8.83,0.38,Punjab Kings,field,0,44,1
Mumbai Indians,Rajasthan Royals,Kolkata,211,201,12,8,11.17,5.0,Rajasthan Royals,field,0,64,1
Punjab Kings,Delhi Capitals,Delhi,202,91,72,10,11.38,9.25,Punjab Kings,field,0,42,1
Royal Challengers Bangalore,Kolkata Knight Riders,Jaipur,199,73,78,10,10.43,9.69,Kolkata Knight Riders,bat,0,55,1
Rajasthan Royals,Kolkata Knight Riders,Mumbai,140,122,5,4,6.37,21.6,Rajasthan Royals,field,0,40,0
Mumbai Indians,Gujarat Titans,Hyderabad,201,120,30,8,8.0,16.2,Mumbai Indians,bat,0,56,1
Rajasthan Royals,Punjab Kings,Ahmedabad,148,68,65,10,7.42,7.38,Punjab Kings,bat,0,55,1
Kolkata Knight Riders,Delhi Capitals,Ahmedabad,198,125,34,9,8.72,12.88,Delhi Capitals,bat,0,58,1
Rajasthan Royals,Chennai Super Kings,Delhi,140,49,61,8,4.98,8.95,Rajasthan Royals,bat,0,31,1
Delhi Capitals,Lucknow Super Giants,Kolkata,172,171,6,9,9.0,1.0,Lucknow Super Giants,bat,0,44,1
Rajasthan Royals,Chennai Super Kings,Bangalore,170,150,14,4,8.49,8.57,Rajasthan Royals,field,0,25,1
Sunrisers Hyderabad,Chennai Super Kings,Lucknow,221,47,90,9,9.4,11.6,Sunrisers Hyderabad,bat,1,30,1
Kolkata Knight Riders,Chennai Super Kings,Lucknow,156,88,38,3,6.44,10.74,Kolkata Knight Riders,bat,0,33,0
Chennai Super Kings,Kolkata Knight Riders,Mumbai,194,148,18,5,8.71,15.33,Chennai Super Kings,field,0,28,1
Royal Challengers Bangalore,Chennai Super Kings,Lucknow,179,91,64,9,9.75,8.25,Chennai Super Kings,field,0,44,1
Royal Challengers Bangalore,Kolkata Knight Riders,Chandigarh,182,139,24,1,8.69,10.75,Kolkata Knight Riders,field,0,60,1
Lucknow Super Giants,Rajasthan Royals,Kolkata,194,53,81,10,8.15,10.44,Lucknow Super Giants,bat,0,42,1
